track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_minute
6zf9PV7ucar5vSAvb5Ft5B,Estela Nuñez,Lo Esencial de Estela Nuñez,Ódiame (Te Lo Ruego),35,211666,False,0.509,0.443,9,-7.949,0,0.036,0.702,0.000116,0.0881,0.551,139.518,3,rock-n-roll,3.5277666666666665
1xTLqJQVr3MDrFZ4GehyEK,Frédéric Chopin;Peter Schmalfuss,Refreshing Piano,"Études, Op. 10: No. 12, Étude in C Minor ""Revolutionary""",0,163533,False,0.328,0.14,1,-17.553,1,0.033,0.977,0.895,0.0926,0.218,97.785,3,classical,2.72555
5jLDnNK79TS2LKwrHMEAeC,Frédéric Chopin;Seong-Jin Cho,Classical Running,"Études, Op. 10: No. 12 in C Minor ""Revolutionary""",0,155880,False,0.175,0.196,5,-18.02,0,0.0326,0.959,0.823,0.209,0.151,49.891,4,classical,2.598
4USdB8vkBnJn4oR8JvSfto,Los Solitarios,Los Solitarios (Un Millón de Besos),Ésta Es Mi Historia,27,174360,False,0.551,0.173,6,-15.517,0,0.0306,0.818,4.07e-06,0.12,0.294,99.557,3,rock-n-roll,2.906
2zPYjW3ppjI3jmn5IL7fjh,Luis Fonsi;Demi Lovato,Halloween 2022 Perreo Vol. 5,Échame La Culpa - Not On You Remix,1,173706,False,0.72,0.914,0,-3.679,1,0.0435,0.0329,0.0,0.132,0.68,95.975,4,latin,2.8951
4mvkaRAZtSBHrVVQkUZqiq,Luis Fonsi;Demi Lovato,Regageton Para Niños,Échame La Culpa,2,173800,False,0.734,0.896,0,-3.652,1,0.039,0.0391,0.0,0.117,0.649,96.007,4,latin,2.8966666666666665
1ZAqZgxVavsxWN5nKhYIIL,Luis Fonsi;Demi Lovato,Homecoming Latin Party,Échame La Culpa,0,173800,False,0.734,0.896,0,-3.652,1,0.039,0.0391,0.0,0.117,0.649,96.007,4,latin,2.8966666666666665
0mlAOSILGRys2IbvyOT5VJ,Luis Fonsi;Demi Lovato,VIDA,Échame La Culpa,73,173800,False,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,4,latin,2.8966666666666665
7HMdbgEuBQHTcitMmhfmB9,MORADA,É Tudo Sobre Você (Ao Vivo),É Tudo Sobre Você - Ao Vivo,51,372173,False,0.397,0.746,9,-5.768,0,0.0382,0.257,0.0,0.703,0.165,137.821,4,reggae,6.202883333333333
1ZzSy8HeLFZAeuQi577bhB,Hafdís Huld,Vögguvísur,Ævintýralönd,45,191332,False,0.627,0.123,0,-14.632,1,0.0298,0.918,1.14e-05,0.0997,0.351,73.551,3,folk,3.1888666666666667
3TFakk2IpVVMgqc5uxZdSC,Atomirotta,II,Älä huoli tyttö,31,202813,False,0.539,0.796,4,-5.35,0,0.0347,0.0629,3.65e-06,0.0779,0.601,119.03,4,blues,3.3802166666666666
5MIrspiQcYqNVB5XARdf5l,Edson Gomes,Ao Vivo Em Salvador,Árvore. - Ao Vivo,45,309200,False,0.457,0.716,0,-9.17,1,0.208,0.173,4.7e-06,0.969,0.548,174.739,4,reggae,5.153333333333333
2sNmYSvlnGqBUNc2QNlH4L,Enrique Guzman,Leyendas Solamente Los Mejores,Ángel de Mi Vida - Angel of the Morning,28,168333,False,0.263,0.453,4,-8.19,1,0.0276,0.513,2.19e-05,0.399,0.496,95.766,4,rock-n-roll,2.80555
32J3bDBXz2d4um5EnB5zsa,Johnny Dinamo,Los Grandes Éxitos Del Rock & Roll (En Español) Vol. 3,Ángel De La Mañana,29,191047,False,0.701,0.491,2,-8.29,1,0.0243,0.608,0.000207,0.0979,0.567,89.048,4,rock-n-roll,3.1841166666666667
1ju5g3JaKTFBIV6O2Eh4cp,Los Yorsy's,Me Quiero Casar Contigo,Ángel De La Mañana,31,190310,False,0.363,0.541,3,-4.664,1,0.0324,0.717,6.59e-06,0.104,0.591,88.38,4,rock-n-roll,3.1718333333333333
5VsfM32WcLbMlznpWpprkH,Timbalada,Mineral,Água Mineral,45,43266,False,0.463,0.687,6,-8.177,1,0.18,0.357,0.0,0.0824,0.97,177.545,4,reggae,0.7211
5QFQoIoRVAaAIBd1du2HIx,Gloria Trevi,Halloween 2022 Pop Vol. 4,Ábranse Perras - En Vivo Desde La Arena Ciudad De México,0,293106,False,0.6,0.952,5,-4.086,0,0.0946,0.0417,6.89e-06,0.956,0.423,178.023,4,latin,4.8851
6X4CaRYC9b1br9mPHJpd7Y,Gloria Trevi,Halloween 2022 Pop Vol. 4,Ábranse Perras,1,200306,False,0.552,0.916,0,-3.397,1,0.133,0.097,0.0,0.125,0.776,178.115,4,latin,3.338433333333333
7l7jGqZ6tLyCpDURjWJCdS,Chuy Lizarraga y Su Banda Tierra Sinaloense,En la nada,¿Dónde Estas Presumida?,0,213920,False,0.648,0.441,3,-3.676,1,0.0332,0.715,0.0,0.0685,0.894,130.986,3,r-n-b,3.5653333333333332
5vEopnR9F4viOgBg0agaOD,Beny Moré,RCA 100 Años De Musica,¿Cómo Fue?,44,175040,False,0.578,0.269,1,-11.073,1,0.0405,0.781,0.243,0.102,0.421,98.515,4,jazz,2.917333333333333
5gPM0o7JslJXQydQkva5BJ,Marco Antonio Solís,Retro Baladas,¿A Dónde Vamos A Parar?,0,229626,False,0.385,0.511,0,-4.728,1,0.0285,0.516,0.00526,0.0966,0.179,144.186,4,latin,3.8271
2uFTnCmw9n08yGWU6qf1vk,Heather Sommer,you heard me,you heard me,61,178686,False,0.665,0.582,6,-7.011,0,0.0324,0.163,0.0,0.108,0.344,137.027,4,edm,2.9781
45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,84,169265,True,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,pop,2.821083333333333
4sAgnJgFJjhG8wNfqc1tlj,Gunna;Chlöe,Hip Hop Slow Jamz,you & me,0,144373,True,0.744,0.535,6,-9.499,0,0.0736,0.279,0.0,0.143,0.106,132.86,4,hip-hop,2.4062166666666664
0VQWAQY1QD9lGP2zDBSBid,Zaeden;AAKASH,Genesis 1:1,yaadein,46,162352,False,0.643,0.508,5,-8.325,1,0.0432,0.492,0.0,0.121,0.408,170.136,4,edm,2.7058666666666666
7eTy1IzCaICfm6JYy1BV4u,Prateek Kuhad,cold/mess,with you/for you,46,231897,False,0.731,0.317,6,-13.775,1,0.0358,0.812,0.149,0.106,0.33,114.078,4,folk,3.86495
3AYtDDIbG4DQxnEFELeFag,Taylor Swift,Autumn Vibes 2022,willow,0,214706,False,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,4,pop,3.5784333333333334
5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,SOUR,traitor,88,229226,False,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,pop,3.8204333333333333
1wC1QmgIXk53Dv9VDKkrCw,Christina Perri,Sad Girls,the lonely,0,233480,False,0.236,0.269,7,-9.61,0,0.0299,0.573,0.000274,0.101,0.0681,81.254,4,rock,3.8913333333333333
66gZWQbx8Vg6XYWIgz7NDQ,Nightmare,DEATH NOTE Original Soundtrack,the WORLD -TV Size-,44,83040,False,0.412,0.952,11,-1.422,0,0.0492,0.00208,0.0,0.335,0.676,95.112,4,metal,1.384
1g0SlTCGN9j3OicWHfSKEn,Nightmare,the WORLD Ruler,the WORLD,61,228120,False,0.531,0.904,11,-3.869,0,0.0419,0.00353,0.0,0.328,0.753,94.999,4,metal,3.802
1ShQlzjMz0XkaHt5CgMpBs,Nightmare;DEATH NOTE デスノート,the WORLD/アルミナ,the WORLD,58,234173,False,0.494,0.938,11,-2.359,0,0.0384,0.000474,0.0,0.314,0.822,95.049,4,metal,3.9028833333333335
6N5WkgPIDoTdbCXyyIIKAv,Zaeden,tere bina,tere bina,68,157245,False,0.889,0.341,7,-7.909,1,0.0424,0.117,3.7e-06,0.0734,0.942,118.003,4,edm,2.62075
4XTJWc22VRo7oK4e6YmwtT,Kacey Musgraves,Best Alternative Pop Tunes,star-crossed,0,199226,False,0.378,0.441,2,-9.142,0,0.0355,0.709,0.00288,0.0887,0.158,105.905,4,country,3.3204333333333333
1Tzxai0OSbtiiZMIOwgDut,Kacey Musgraves,Best Alternative Pop Tunes,star-crossed,0,199226,False,0.378,0.441,2,-9.142,0,0.0355,0.709,0.00288,0.0887,0.158,105.905,4,country,3.3204333333333333
0WdLTvDQ6FD8jSkUjSvHqe,Kacey Musgraves,West Coast,star-crossed,0,199226,False,0.378,0.441,2,-9.142,0,0.0355,0.709,0.00288,0.0887,0.158,105.905,4,country,3.3204333333333333
6S2J2KAg0HMUmySQTYBdqo,Joy Oladokun,Best Alternative Pop Tunes,sorry isn't good enough,0,187543,True,0.618,0.554,2,-7.39,0,0.0464,0.029,7.76e-05,0.179,0.575,140.038,4,folk,3.1257166666666665
4IOJeKuObmBVXq2RQ01BqH,Joy Oladokun,West Coast,sorry isn't good enough,0,187543,True,0.618,0.554,2,-7.39,0,0.0464,0.029,7.76e-05,0.179,0.575,140.038,4,folk,3.1257166666666665
3gp0OlV8qMNaZVJ0JAnnFk,Joy Oladokun,Best Alternative Pop Tunes,sorry isn't good enough,0,187543,True,0.618,0.554,2,-7.39,0,0.0464,0.029,7.76e-05,0.179,0.575,140.038,4,folk,3.1257166666666665
1YULnhLM9r4rgOY4whqilF,Joy Oladokun,Best Alternative Pop Tunes,sorry isn't good enough,0,187543,True,0.618,0.554,2,-7.39,0,0.0464,0.029,7.76e-05,0.179,0.575,140.038,4,folk,3.1257166666666665
4nh0aT30hfj3smH6flWU63,Zaeden,socha na tha,socha na tha,41,144250,False,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133,4,edm,2.404166666666667
1eqNj2KekcQ8GKWoW4yFr6,Zaeden,Genesis 1:1,socha na tha,65,144250,False,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133,4,edm,2.404166666666667
5fpq1wF8xa5tSSlcKHdmGQ,Bring Me The Horizon,sTraNgeRs,sTraNgeRs,75,195747,True,0.346,0.939,5,-3.061,1,0.182,0.000231,0.0,0.433,0.526,183.147,3,metal,3.26245
4oOmRoG2lWjv6COrTT8Z28,ANAVITÓRIA,N,quem vai dizer tchau,45,198220,False,0.646,0.372,5,-9.889,1,0.0272,0.559,0.000493,0.199,0.35,129.012,4,folk,3.3036666666666665
55rG9wHuUie0jH00vpjvfX,Machine Gun Kelly;blackbear,Autumn Vibes 2022,my ex's best friend,0,138970,False,0.732,0.671,5,-5.037,0,0.0415,0.00323,0.0,0.108,0.328,124.957,4,hip-hop,2.3161666666666667
23Hakma2pAUDAGnyp4TLc1,Gunna;Young Thug,Energy Hip Hop,mop,0,185213,True,0.878,0.575,9,-8.732,1,0.284,0.00293,0.0,0.273,0.399,144.918,4,hip-hop,3.086883333333333
1H118q00XLadaah7a68ChA,Musiq Soulchild,Slow Down Soul,makeyouhappy,0,200813,True,0.884,0.492,5,-5.397,0,0.357,0.205,0.0,0.0672,0.723,94.403,4,soul,3.3468833333333334
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish;Khalid,lovely (with Khalid),lovely (with Khalid),89,200185,False,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,pop,3.3364166666666666
6nXwthh92R2HlnyBWtHgHP,Zaeden,Genesis 1:1,kya karoon?,62,200275,False,0.723,0.56,5,-8.324,0,0.035,0.645,7.42e-06,0.228,0.619,145.022,4,edm,3.3379166666666666
2nF4CJQfTfwft6TYVYLKiI,Zaeden,kya karoon?,kya karoon?,48,200275,False,0.723,0.561,5,-8.322,0,0.035,0.642,7.11e-06,0.228,0.616,145.02,4,edm,3.3379166666666666
1DKfhVxj07r86PuIcLZNe0,Zaeden;Yashraj;AAKASH,Genesis 1:1,kho gaya,47,177290,False,0.729,0.496,0,-7.863,1,0.0613,0.766,0.0,0.134,0.66,155.062,4,edm,2.954833333333333
71lFFVaT9SLEnOAYjQSPsc,Kacey Musgraves,Autumn Vibes 2022,justified,0,180800,False,0.669,0.552,0,-7.98,1,0.0587,0.807,0.000874,0.321,0.488,100.102,4,country,3.013333333333333
1ubDSCbRstAmiK3U1p4UZc,Joy Oladokun,Fall Aesthetic,jordan,0,241200,False,0.513,0.313,4,-9.318,1,0.0276,0.521,3.95e-06,0.0994,0.217,96.124,4,folk,4.02
6dCpB0vj7xrBMyOH0mDuNN,Zaeden;Nishu,Genesis 1:1,jaaye na tu,43,143661,False,0.906,0.376,2,-10.93,1,0.078,0.138,0.000315,0.102,0.762,142.069,4,edm,2.39435
1Wm35uHkiDlb3YKPJeh5Oh,Zaeden;somanshu,Genesis 1:1,intezaar,50,152523,False,0.638,0.489,11,-6.206,1,0.0278,0.582,0.0,0.0965,0.548,106.915,4,edm,2.54205
5zZaxeRo4e09KUJ5sbEC7Q,MBNN;Rowald Steyn,ilomilo,ilomilo,62,181045,False,0.828,0.687,5,-6.24,0,0.0509,0.0843,0.0074,0.124,0.208,119.006,4,edm,3.0174166666666666
4edHoZerfvMGeLz3ohZit6,The Chainsmokers,So Far So Good,iPad,69,202406,False,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979,4,edm,3.3734333333333333
5kUC2hxjPoTsF5t7rL0E3s,Christina Perri,Country Christmas Time,i'll be home for christmas,2,151782,False,0.407,0.0931,7,-12.659,1,0.0375,0.945,2.59e-06,0.191,0.327,117.512,3,rock,2.5297
1Eb5qkcugaBuOUOB2sI3WL,Christina Perri;Passion Pit,EDM Hits,human - Passion Pit Remix,0,301320,False,0.721,0.791,8,-4.98,1,0.0317,0.000769,0.0016,0.344,0.401,120.009,4,rock,5.022
2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,SOUR,happier,86,175933,True,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,3,pop,2.9322166666666667
77puSe1dybq621r6eZXZkD,Musiq Soulchild,21st Century Soul Grooves & Slow Jams,greatestlove,0,286253,False,0.588,0.667,10,-5.412,1,0.0473,0.296,4.96e-06,0.125,0.454,123.939,4,soul,4.770883333333333
6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,84,243836,True,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,hip-hop,4.063933333333333
4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,SOUR,good 4 u,88,178146,True,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,pop,2.9691
6E7jAJN2e3znSHyPCdQqx8,MAMAMOO,White Wind,gogobebe,63,195855,False,0.704,0.787,0,-3.114,1,0.082,0.114,0.0,0.228,0.707,96.929,4,k-pop,3.26425
4PdLup4OaCGktZG8cvbkBz,BAYNK,Someone's EP II,go with u,63,231192,False,0.787,0.537,1,-6.827,0,0.204,0.594,6.26e-05,0.114,0.346,108.994,4,soul,3.8532
164OhifL9Eld1xMaptReyR,Prateek Kuhad,Prateek Kuhad on Audiotree Live,for your time - Audiotree Live Version,38,217670,False,0.759,0.166,3,-14.199,1,0.0393,0.918,0.000366,0.109,0.364,110.88,4,folk,3.6278333333333332
2qI0dxrLFzm5oCgjiYc265,Prateek Kuhad,cold/mess,for your time,35,186873,False,0.578,0.723,6,-5.575,1,0.036,0.0129,0.000137,0.334,0.631,130.997,4,folk,3.11455
3IW6WWv5CeCgSyNwL9UmJr,Prateek Kuhad,cold/mess,fighter,40,235402,False,0.456,0.455,1,-7.53,1,0.0305,0.668,1.05e-05,0.0936,0.132,116.504,4,folk,3.9233666666666664
3z06k8YF9CqX0CGFrlekOK,vaultboy,everything sucks,everything sucks,77,115401,True,0.76,0.371,6,-8.964,1,0.0531,0.00772,0.0,0.0785,0.653,138.023,4,pop,1.92335
0uBeSDV32mrqWuL8jLct8J,Machine Gun Kelly;WILLOW,Halloween Party 2022,emo girl,0,159096,True,0.41,0.881,2,-3.502,1,0.087,0.000406,4.26e-05,0.922,0.357,165.006,4,hip-hop,2.6516
67qlKfxKVqs2uxPA6OMlDZ,Machine Gun Kelly,Halloween Party 2022,el diablo,2,146264,True,0.765,0.725,3,-3.391,0,0.143,0.00471,0.000194,0.154,0.578,75.003,4,hip-hop,2.4377333333333335
0pYacDCZuRhcrwGUA5nTBe,IU;SUGA,eight,eight(Prod.&Feat. SUGA of BTS),73,167573,False,0.676,0.869,1,-1.573,1,0.0423,0.115,0.0,0.132,0.594,120.029,4,k-pop,2.792883333333333
57buRfUBYm7fFFoIM78qbs,Kacey Musgraves,Best Alternative Pop Tunes,easier said,0,187360,False,0.541,0.609,3,-8.077,1,0.0478,0.51,0.000668,0.102,0.381,147.828,4,country,3.1226666666666665
5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,SOUR,drivers license,88,242013,True,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,pop,4.03355
3ymULM6auJVgBj4A9TADlv,Zaeden,dooriyan - Single,dooriyan,41,161624,False,0.735,0.593,11,-7.473,1,0.0885,0.731,0.178,0.135,0.475,160.07,4,edm,2.6937333333333333
1HGtTmgl1sEycuS9lJviWQ,Zaeden,Genesis 1:1,dooriyan,63,161624,False,0.735,0.593,11,-7.473,1,0.0885,0.731,0.178,0.135,0.475,160.07,4,edm,2.6937333333333333
4YNpbmyD7RQUhyBbu8V3HD,ANAVITÓRIA,N,dois rios,47,214054,False,0.672,0.28,11,-14.714,0,0.0286,0.964,0.0157,0.0843,0.312,139.958,4,folk,3.5675666666666666
6pp6xf9zS55GD4nr318XUH,BTS,Love Yourself 承 'Her',dimple,72,196776,False,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,4,k-pop,3.2796
2PCSrsG1MyOYyFbJ0m9mVN,Prateek Kuhad,cold/mess,did you/fall apart,42,172298,False,0.512,0.165,1,-12.687,1,0.033,0.899,0.236,0.0979,0.0869,140.81,3,folk,2.8716333333333335
6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,SOUR,deja vu,87,215506,True,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4,pop,3.5917666666666666
1I3EjtaIQz2zzDE1aeiUEz,Architects,deep fake,deep fake,63,213871,True,0.505,0.854,6,-4.167,0,0.0851,0.000101,0.00325,0.0556,0.319,96.023,4,metal,3.5645166666666666
7xxk2elVJN3IjhbV3T8Shz,Zaeden,days,days,43,150000,False,0.811,0.499,7,-9.37,1,0.0589,0.255,0.00478,0.189,0.373,144.028,4,edm,2.5
2mEHyRXGIPArlWSDkIqujW,Zaeden,Genesis 1:1,days,47,150000,False,0.811,0.499,7,-9.37,1,0.0589,0.255,0.00478,0.189,0.373,144.028,4,edm,2.5
1A4tabNlyLKLOHQW2XpjaU,Shallou;Colin,count on,count on,54,206994,False,0.689,0.503,8,-10.061,0,0.101,0.195,0.232,0.0678,0.0634,116.079,4,soul,3.4499
7uhINGViZPygI2AljxO8KN,Prateek Kuhad,cold/mess,cold/mess,61,281218,False,0.509,0.477,11,-6.571,1,0.0262,0.309,0.0168,0.158,0.283,146.031,3,folk,4.686966666666667
3iewNLhxQyJXdYVYFKj86Y,Prateek Kuhad,Prateek Kuhad on Audiotree Live,cold / mess - Audiotree Live Version,33,260424,False,0.5,0.0981,10,-13.88,1,0.0412,0.926,0.000938,0.115,0.324,148.376,3,folk,4.3404
14MGlCeQzAJj3EeznSGeEC,Taylor Swift,Autumn Vibes 2022,cardigan,0,239560,False,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,4,pop,3.9926666666666666
1xFkcJjWuLlq8CIymwSTw9,MOTHICA,forever fifteen,buzzkill,67,140111,True,0.638,0.755,8,-5.614,0,0.0682,0.362,3.09e-06,0.329,0.739,169.953,4,soul,2.335183333333333
7qH7pjTmQTOsnDN8IYP4jy,Christina Perri;Addal,Happy Commute,burning gold - Addal Remix,0,292718,False,0.754,0.667,4,-7.343,0,0.0258,0.0573,0.0357,0.114,0.261,117.975,4,rock,4.878633333333333
3WFAdUVTAuLeTMApMwGgvr,Machine Gun Kelly,Rock & Halloween,born with horns,4,147943,False,0.569,0.919,11,-5.378,1,0.135,0.00089,9.44e-05,0.0524,0.256,95.073,4,hip-hop,2.465716666666667
5cc6bqV4lFNB8etIbI7SNz,Machine Gun Kelly,Halloween Party 2022,bloody valentine,0,205015,True,0.52,0.856,2,-4.228,1,0.0806,0.000193,0.0,0.157,0.47,160.083,4,hip-hop,3.416916666666667
3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,folklore,august,86,261922,False,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,pop,4.365366666666667
1Kl6QcGWVECHMfjqrQux5V,Christina Perri,Feeling Good - Adult Pop Favorites,arms,0,261213,False,0.463,0.755,4,-7.244,1,0.0634,0.11,4.89e-06,0.103,0.252,145.312,4,rock,4.35355
1tzMa1ma7O05lIgr4XKia8,HRJXT;Intense,Twenty Two,angels,58,204545,False,0.721,0.746,4,-5.135,0,0.0637,0.0241,0.0,0.143,0.23,175.813,4,hip-hop,3.4090833333333332
3QwiidVHfeE9y5jl4n2MTC,SEVENTEEN,SEVENTEEN 4th Album Repackage 'SECTOR 17',_WORLD,78,178453,False,0.709,0.809,2,-3.198,0,0.0541,0.312,0.0,0.0899,0.788,111.01,4,k-pop,2.9742166666666665
00K3yuFVb33hBNoEyWcdnj,Dzem,Złota Kolekcja,Złoty Paw - 2003 Remaster,34,361226,False,0.716,0.816,5,-6.163,1,0.0544,0.0442,0.00142,0.0442,0.834,125.631,4,blues,6.020433333333333
5UBXVQfXgkDl2N423nNtgi,Rappin' Hood,Sujeito Homem 2,Zé Brasileiro,40,276400,False,0.796,0.742,2,-5.661,1,0.218,0.154,0.0,0.263,0.679,83.488,4,r-n-b,4.6066666666666665
4B8RTAHSPfYpV222GsmEjq,Don Omar,Fiesta portatil,Zumba,2,263973,False,0.718,0.891,9,-3.494,0,0.0404,0.00175,0.0146,0.138,0.828,124.981,4,hip-hop,4.39955
573o3RPFGAXaob5lqXzli7,Dr. John,New Orleans Voodoo Soul,Zu Zu Man,0,199960,False,0.428,0.594,9,-9.657,1,0.0693,0.875,2.2e-05,0.133,0.786,131.18,4,blues,3.332666666666667
3Ddny34bFoYBb8dIGq5lwp,Lil Tjay;Fivio Foreign;Pop Smoke,State of Emergency,Zoo York (feat. Fivio Foreign & Pop Smoke),67,214825,True,0.565,0.569,6,-6.084,0,0.379,0.0352,8.81e-06,0.106,0.303,92.466,5,r-n-b,3.580416666666667
73ZUyy2V4rZuULOdrnAPLq,Tom Petty,Halloween Hits,Zombie Zoo,1,178506,False,0.685,0.886,9,-10.653,1,0.0323,0.0328,0.0,0.0362,0.819,116.222,4,rock,2.9751
72ujfr1bM2nzr7YfiiJIhI,Tom Petty,Helloween Party,Zombie Zoo,1,178506,False,0.685,0.886,9,-10.653,1,0.0323,0.0328,0.0,0.0362,0.819,116.222,4,rock,2.9751
5dmC4IGuPsAzJNigeCFLO9,Tom Petty,Pop & Halloween,Zombie Zoo,0,178506,False,0.685,0.886,9,-10.653,1,0.0323,0.0328,0.0,0.0362,0.819,116.222,4,rock,2.9751
1yCs1b8JQCzyVgpsQCY4Sj,Tom Petty,Rock & Halloween,Zombie Zoo,1,178506,False,0.685,0.886,9,-10.653,1,0.0323,0.0328,0.0,0.0362,0.819,116.222,4,rock,2.9751
4Y2bR875LdPq9JILrY2FSw,Bad Wolves,Zombie EP,Zombie (Acoustic),55,259253,False,0.499,0.494,2,-6.069,0,0.0264,0.0646,0.0,0.182,0.129,77.011,4,metal,4.320883333333334
